mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
torus3d_dor,uniform_random,0.76,0.38,243200.0,242793.0,242545.0,0.9983264802631578,0.9989785537474309,0.3789765625,2.000021,9.789561,11.789581,2.998743,121.3148,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.78,0.39,249600.0,249368.0,249101.0,0.9990705128205128,0.9989292932533445,0.3892203125,2.000008,9.825585,11.825593,3.001232,124.6629,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.8,0.4,256000.0,255570.0,255310.0,0.9983203125,0.9989826661971279,0.398921875,2.000039,9.859269,11.859308,3.000227,127.7386,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.82,0.41,262400.0,261936.0,261651.0,0.9982317073170732,0.9989119479567528,0.4088296875,2.000233,9.899056,11.89929,2.99992,130.9111,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.84,0.42,268800.0,268418.0,268125.0,0.998578869047619,0.9989084189584901,0.4189453125,2.000015,9.920593,11.920608,2.997807,134.0933,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.86,0.43,275200.0,274829.0,274518.0,0.9986518895348837,0.9988683872517092,0.428934375,2.000062,9.98387,11.983932,3.00451,137.4772,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.88,0.44,281600.0,281202.0,280897.0,0.9985866477272727,0.9989153704454449,0.4389015625,2.000317,10.003674,12.003991,2.997362,140.4644,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.9,0.45,288000.0,287618.0,287309.0,0.9986736111111111,0.9989256583384907,0.4489203125,2.000171,10.055331,12.055501,2.99717,143.6631,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.92,0.46,294400.0,294133.0,293816.0,0.9990930706521739,0.9989222562582233,0.4590875,2.000228,10.101325,12.101553,2.997458,146.9272,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.94,0.47,300800.0,300557.0,300238.0,0.9991921542553192,0.9989386372634808,0.469121875,2.000729,10.170508,12.171237,3.000556,150.2297,0.0,0.0,0.0,0.0,10000.0,2000000000.0
