pattern,injection_rate,offered_load,packets_injected,packets_received,throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,average_hops,sim_ticks,sim_freq
tornado,0.22,0.11,70137.0,70050.0,0.109453125,0.9987595705547714,2.0,10.802926,12.802926,3.748437,10000.0,2000000000.0
tornado,0.23,0.115,73254.0,73162.0,0.114315625,0.9987440958855489,2.0,10.818089,12.818089,3.74823,10000.0,2000000000.0
tornado,0.24,0.12,76496.0,76401.0,0.1193765625,0.9987581049989542,2.0,10.837188,12.837188,3.748969,10000.0,2000000000.0
tornado,0.25,0.125,79713.0,79613.0,0.1243953125,0.9987454994793823,2.0,10.857762,12.857762,3.749199,10000.0,2000000000.0
tornado,0.26,0.13,82939.0,82838.0,0.129434375,0.9987822375480775,2.0,10.878739,12.878739,3.749825,10000.0,2000000000.0
tornado,0.27,0.135,86166.0,86060.0,0.13446875,0.9987698164009006,2.0,10.899163,12.899163,3.74878,10000.0,2000000000.0
tornado,0.28,0.14,89320.0,89213.0,0.1393953125,0.9988020600089565,2.0,10.923419,12.923419,3.749218,10000.0,2000000000.0
tornado,0.29,0.145,92559.0,92448.0,0.14445,0.998800764917512,2.0,10.948674,12.948674,3.749329,10000.0,2000000000.0
tornado,0.3,0.15,95810.0,95696.0,0.149525,0.9988101450788018,2.0,10.974179,12.974179,3.749457,10000.0,2000000000.0
tornado,0.31,0.155,98949.0,98832.0,0.154425,0.998817572688961,2.0,11.000789,13.000789,3.74913,10000.0,2000000000.0
tornado,0.32,0.16,102153.0,102029.0,0.1594203125,0.9987861345237047,2.0,11.027747,13.027747,3.749454,10000.0,2000000000.0
tornado,0.33,0.165,105338.0,105209.0,0.1643890625,0.9987753707114242,2.0,11.05624,13.05624,3.749118,10000.0,2000000000.0
tornado,0.34,0.17,108533.0,108402.0,0.169378125,0.9987929938359762,2.0,11.090229,13.090229,3.748861,10000.0,2000000000.0
tornado,0.35,0.175,111703.0,111572.0,0.17433125,0.9988272472538786,2.0,11.127344,13.127344,3.748252,10000.0,2000000000.0
tornado,0.36,0.18,114873.0,114736.0,0.179275,0.998807378583305,2.000017,11.167297,13.167315,3.748815,10000.0,2000000000.0
tornado,0.37,0.185,118054.0,117911.0,0.1842359375,0.9987886899215613,2.000025,11.211923,13.211948,3.748514,10000.0,2000000000.0
tornado,0.38,0.19,121234.0,121084.0,0.18919375,0.9987627233284392,2.000025,11.266154,13.266179,3.748092,10000.0,2000000000.0
tornado,0.39,0.195,124354.0,124198.0,0.194059375,0.9987455168309826,2.000089,11.324965,13.325054,3.747822,10000.0,2000000000.0
tornado,0.4,0.2,127637.0,127475.0,0.1991796875,0.9987307755588113,2.000408,11.391928,13.392336,3.747409,10000.0,2000000000.0
tornado,0.41,0.205,130827.0,130665.0,0.2041640625,0.9987617234974432,2.000513,11.465917,13.466429,3.747178,10000.0,2000000000.0
tornado,0.42,0.21,133970.0,133805.0,0.2090703125,0.9987683809808166,2.002646,11.562707,13.565353,3.746848,10000.0,2000000000.0
tornado,0.43,0.215,137149.0,136979.0,0.2140296875,0.9987604721871833,2.005439,11.668475,13.673914,3.746844,10000.0,2000000000.0
tornado,0.44,0.22,140415.0,140236.0,0.21911875,0.9987252074208596,2.013841,11.793363,13.807204,3.746941,10000.0,2000000000.0
